11/08/2021    19:06:39 PM    from Sean Turner to Everyone:	Thanks for the unexpected 10min break!
11/08/2021    20:07:59 PM    from Lixia to Everyone:	Bob, back in early 80's, I had a chance to sit in some meeting with ATT people, and heard the comments "our infrastructre is worth $600B (I might remember wrong), no one can afford changing it" 
11/08/2021    20:09:01 PM    from Dino to Everyone:	@lixia, they have value they move packets as fast as possible routing on locators
11/08/2021    20:09:14 PM    from Bob Moskowitz to Everyone:	Yet, when Microwave Comm Inc invested in fiber, ATT trashed their copper valuation and ran to fiber as well.
11/08/2021    20:09:56 PM    from Dino to Everyone:	the point is you don't have to obsolete or devalue ISPs
11/08/2021    20:10:20 PM    from Lixia to Everyone:	@Dino, when one uses IP connectivity, it can move packets as fast as possible.
11/08/2021    20:10:21 PM    from Alex Clemm to Everyone:	@Antoine - thank you, but the point is IMHO is not a technical problem, but a monetization problem - and monetization is a lot more straightforward when you centralize... 
11/08/2021    20:10:56 PM    from Lixia to Everyone:	But I would really like to point out that security is the #1 challenge facing Internet today, not the speed.
11/08/2021    20:11:20 PM    from Dirk Trossen to Everyone:	@Lixia +1 on security
11/08/2021    20:11:21 PM    from Bob Moskowitz to Everyone:	Yes. to security.
11/08/2021    20:11:34 PM    from Luigi Iannone to Everyone:	+1 on security
11/08/2021    20:11:35 PM    from Dino to Everyone:	@lixia, and it is a problem because all our packets flow to 6 big boys
11/08/2021    20:11:37 PM    from Antoine Fressancourt to Everyone:	@Alex, that's the whole dilemma with decentralization or P2P service models. If you look at privacy, this is exactly the dilemma TOR is facing
11/08/2021    20:11:44 PM    from Luigi Iannone to Everyone:	I would argue that privacy is also important
11/08/2021    20:11:45 PM    from David Lou to Everyone:	+1 security
11/08/2021    20:12:09 PM    from Bob Moskowitz to Everyone:	thus overlays again.  But let's be honest, IP is all about overlays.  TCP overlaid on IP with is...
11/08/2021    20:12:42 PM    from Dino to Everyone:	@bob, transport overlays on the network is different than a network layer overlay
11/08/2021    20:12:46 PM    from Bob Moskowitz to Everyone:	Overlays cost.  Mostly in throughput.  But they are needed.
11/08/2021    20:13:10 PM    from Lixia to Everyone:	agree thtat privacy is important.  But when Google knows you 100 times better than your self, TLS is not gonna solve privacy problem in a funamental way.
11/08/2021    20:13:25 PM    from Dino to Everyone:	Google is a big boy ;-)
11/08/2021    20:13:28 PM    from Bob Moskowitz to Everyone:	Yes and no.  It is more context. and what is connected.  It is all shown in the stacks model.
11/08/2021    20:13:42 PM    from Dino to Everyone:	they just hit $2T in market cap this morning ;-)
11/08/2021    20:13:53 PM    from Bob Moskowitz to Everyone:	Privacy is different from security.
11/08/2021    20:14:06 PM    from Antoine Fressancourt to Everyone:	@Bob exactly
11/08/2021    20:14:27 PM    from Luigi Iannone to Everyone:	May be I share everything with google but nobody along the path should know that I speak to google  and TLS does not protect that aspect
11/08/2021    20:14:31 PM    from Lixia to Everyone:	agree that Privacy is different from security. one question is which one goes first.
11/08/2021    20:14:43 PM    from Dino to Everyone:	agree @lixia
11/08/2021    20:14:56 PM    from Bob Moskowitz to Everyone:	I need to secure my C2 so that someone cannot take control of my UA.  But I cannot effectively hide that my UA is up in the sky over you...
11/08/2021    20:15:09 PM    from Antoine Fressancourt to Everyone:	You can't have privacy without encryption, which most people tend to associate with security
11/08/2021    20:15:35 PM    from Bob Moskowitz to Everyone:	Security.  It is achievable.  Privacy is more a social definition.
11/08/2021    20:15:44 PM    from Dino to Everyone:	encryption is mandatory, there should be no discussion on making it optional
11/08/2021    20:15:59 PM    from Dino to Everyone:	and for privacy, you make addresses (EIDs) ephemeral
11/08/2021    20:16:13 PM    from Dirk Kutscher to Everyone:	or don't require them :-)
11/08/2021    20:16:28 PM    from Antoine Fressancourt to Everyone:	@Bob, I agree that privacy has a social dimension, but there are formal definitions for privacy that are not bound to social norms
11/08/2021    20:16:41 PM    from Dino to Everyone:	if an app is going to talk to more than one thing, you need an ID of some sort
11/08/2021    20:17:00 PM    from Yihao Jia to Everyone:	security for the first priority. If we have no security, we do not get any privacy
11/08/2021    20:17:16 PM    from Dino to Everyone:	@luigi, as does BLE devices and why we need BLE repeaters
11/08/2021    20:17:22 PM    from Antoine Fressancourt to Everyone:	http://www.maroki.de/pub/dphistory/2010_Anon_Terminology_v0.34.pdf
11/08/2021    20:17:34 PM    from Bob Moskowitz to Everyone:	I doubt it.
11/08/2021    20:17:57 PM    from Dino to Everyone:	iot devices are mostly unidirectional, and that helps with security issues
11/08/2021    20:18:14 PM    from Antoine Fressancourt to Everyone:	@Bob, the link before gives formal definitions for several concepts associated to privacy
11/08/2021    20:18:22 PM    from Dino to Everyone:	IOT devices, if IP stacked, should send each packet with a differrent address
11/08/2021    20:19:01 PM    from Bob Moskowitz to Everyone:	But need Identity.  COSE?
11/08/2021    20:19:59 PM    from Bob Moskowitz to Everyone:	See my privacy discussion in draft-ietf-drip-rid
11/08/2021    20:20:07 PM    from Bob Moskowitz to Everyone:	Or rather no privacy, sorry.
11/08/2021    20:21:11 PM    from Antoine Fressancourt to Everyone:	@Bob, I will look at this draft, thank you
11/08/2021    20:21:56 PM    from Dino to Everyone:	I think the complexity moved up stack @colin
11/08/2021    20:22:11 PM    from Dino to Everyone:	agree bits are cheap @colin
11/08/2021    20:22:44 PM    from Luigi Iannone to Everyone:	We do not talk about replacing the addressing model, it is about make it evolve
11/08/2021    20:23:23 PM    from Dino to Everyone:	@colin - do you think CDNs in our current network is a feature or a bug?
11/08/2021    20:23:44 PM    from Dino to Everyone:	both okay ;-)
11/08/2021    20:23:51 PM    from Luigi Iannone to Everyone:	Programmability is usefull to support evolution (including addressineg ;-))
11/08/2021    20:24:50 PM    from Dino to Everyone:	agree @stewart
11/08/2021    20:24:54 PM    from Dirk Kutscher to Everyone:	@Luigi, I guess the other perspective is that it does not need to evolve (or cannot be changed anymore). 
11/08/2021    20:25:09 PM    from Dino to Everyone:	lets talk about new features we want in the network
11/08/2021    20:25:14 PM    from Dirk Kutscher to Everyone:	+1
11/08/2021    20:25:18 PM    from Luigi Iannone to Everyone:	I would agree on "cannot be replaced"
11/08/2021    20:25:34 PM    from Luigi Iannone to Everyone:	I believe it can evolve
11/08/2021    20:26:39 PM    from Dirk Kutscher to Everyone:	I would take CDNs (and hyperscaler edge-to-cloud systems) as examples of relevant use cases that could be served better.
11/08/2021    20:26:56 PM    from Dirk Trossen to Everyone:	@DirkK +1
11/08/2021    20:27:20 PM    from Antoine Fressancourt to Everyone:	Addresses should be backward compatible. We may live with IP forever, but that should not prevent us from using other types of addresses if there is a use case for those and a deployment supporting it.
11/08/2021    20:27:45 PM    from Bob Moskowitz to Everyone:	What I said.
11/08/2021    20:28:26 PM    from Antoine Fressancourt to Everyone:	The beauty of discussion, in the end we agree on the main things ;-)
11/08/2021    20:28:34 PM    from Bob Moskowitz to Everyone:	But how to add network support for more headers
11/08/2021    20:29:01 PM    from Bob Moskowitz to Everyone:	I need to go.  I will join the intarea list.
11/08/2021    20:29:14 PM    from Bob Moskowitz to Everyone:	bye all.
11/08/2021    20:29:29 PM    from Antoine Fressancourt to Everyone:	In the same way we are adding support for IPv6: we deploy new equipment, it gets replaced over time, and support for new things start to burgeaon
11/08/2021    20:30:35 PM    from Olaf Kolkman to Everyone:	The mailinglist being the Int mailinglist, correct?
11/08/2021    20:30:46 PM    from David Lou to Everyone:	yes
11/08/2021    20:31:30 PM    from Luigi Iannone to Everyone:	yes the INTAREA mailing list
11/08/2021    20:31:59 PM    from Dino to Everyone:	thank you organizers
